
SEE CONTEXT: CLICK ON WORD OR SELECT WORDS + [CONTEXT]   [HELP...]	  ?   
 			FREQ	 
249		 FAMILY	14	
250		 FRIEND	14	
251		 IMSELF	14	
252		 HAND	14	
253		 FOR	13	
254		 GO-FOR-IT	13	
255		 F	13	
256		 DON'T-MESS-WITH-ME	13	
257		 BROTHER	13	
258		 BETTER	13	
259		 NOTICE-ME	13	
260		 OUR-SELVES	13	
261		 MEAN	13	
262		 LIKE	13	
263		 TOGETHER	13	
264		 SEVENTY-SOMETHING	13	
265		 SIDE	13	
266		 SOMETHING-FOR-EVERYONE	13	
267		 WRONG	13	
268		 WHAT	12	
269		 WANT	12	
270		 UP-FOR-ANYTHING	12	
271		 MMSELF	12	
272		 OF	12	
273		 NAME	12	
274		 PART	12	
275		 SAY	12	
276		 SCHOOL	12	
277		 BUT	12	
278		 DO-ANYTHING	12	
279		 DO-ITYOURSELF	12	
280		 -EVERYONE	12	
281		 ELSE	12	
282		 FUCK-ME	12	
283		 GIRLS	11	
284		 DOES	11	
285		 EXAMPLE	11	
286		 HEART	11	
287		 A-ONE	11	
288		 ARE	11	
289		 DIFFERENT	11	
290		 DAYS	11	
291		 CASE	11	
292		 PARENTS	11	
293		 OWNSELF	11	
294		 MUCH	11	
295		 NOT	11	
296		 OUTSELF	11	
297		 MISTAKE	11	
298		 ME-ME-ME	11	
299		 LOVE	11	
300		 WIFE	11	
301		 YOU-NAME-IT	11	
302		 SO	11	
303		 STICK-WITH-IT	11	
304		 TABLE	11	
305		 SYSTEM	10	
306		 SHOW	10	
307		 YES	10	
308		 WILL	10	
309		 Y'SELF	10	
310		 WORD	10	
311		 VOICE	10	
312		 MAKE	10	
313		 MORNING	10	
314		 BAD	10	
315		 BEING-IN-ITSELF	10	
316		 ANTI-EVERYTHING	10	
317		 HANDS	10	
318		 HAIR	10	
319		 HIPPER-THAN-THOU	10	
320		 IF	10	
321		 EASY	10	
322		 EASY-DOES-IT	10	
323		 GAME	10	
324		 FIRST	9	
325		 EIGHTY-SOMETHING	9	
326		 DOOR	9	
327		 IT-SELF	9	
328		 IT-SOMETHING	9	
329		 LAUGH	9	
330		 JUST	9	
331		 HEY	9	
332		 HUSBAND	9	
333		 HELP-YOURSELF	9	
334		 HE-O	9	
335		 ANYWAY	9	
336		 AGO	9	
337		 ABOUT	9	
338		 -SOMEONE	9	
339		 BIKE	9	
340		 BOYS	9	
341		 BODY	9	
342		 BABY	9	
343		 OLD	9	
344		 LIST	9	
345		 ROAD	9	
346		 US-AGAINST-THEM	9	
347		 UNSELF	9	
348		 WORRY	9	
349		 WHILE	9	
350		 YOU/YOU	9	
351		 YRSELF	9	
352		 SET-IT-AND-FORGET-IT	9	
353		 SERVE-YOURSELF	9	
354		 SEASON	9	
355		 THEYSELF	9	
356		 THEMS	8	
357		 THINGS	8	
358		 THINK	8	
359		 TELL-ME	8	
360		 TIMES	8	
361		 STUFF	8	
362		 SPRING	8	
363		 YEAH	8	
364		 YO'SELF	8	
365		 WINE	8	
366		 YASELF	8	
367		 US-AND-THEM	8	
368		 US-ME	8	
369		 TWO	8	
370		 PAIN	8	
371		 PROBLEMS	8	
372		 LIVES	8	
373		 ONE-OUT	8	
374		 NOT-ME	8	
375		 MONTHS	8	
376		 NINETY-SOMETHING	8	
377		 -EVERYBODY	8	
378		 BUSINESS	8	
379		 CALL	8	
380		 CAN	8	
381		 DAUGHTER	8	
382		 DIDN'T	8	
383		 CONTROL	8	
384		 HERSELF/HIMSELF	8	
385		 HUMAN	8	
386		 HIGH	8	
387		 IT'S	8	
388		 DOIT-YOURSELF	8	
389		 ELSE-SOMETHING	8	
390		 END	8	
391		 EVERY-MAN-FOR-HIMSELF	8	
392		 GARDEN	8	
393		 GOD	8	
394		 GOTTA-HAVE-IT	8	
395		 GETTING-TO-KNOW-YOU	7	
396		 FROM	7	
397		 FEET	7	
398		 ERSELF	7	
399		 END-IN-HIMSELF	7	
400		 EITHER	7	
401		 EAT-ME	7	
402		 DOING	7	
403		 INSTANCE	7	
404		 IDEA	7	
405		 HARD	7	
406		 HAPPEN	7	
407		 COUPLE	7	
408		 DINNER	7	
409		 CANCER	7	
410		 CITY	7	
411		 COLLEGE	7	
412		 ANY-BODY	7	
413		 NO-THING	7	
414		 NETSELF	7	
415		 MOVIE	7	
416		 NUFFINK	7	
417		 OFFICE	7	
418		 ONE-SELF	7	
419		 ONCE	7	
420		 LONG	7	
421		 LEAVE	7	
422		 MINUTES	7	
423		 PROCESS	7	
424		 POINT	7	
425		 PLAY	7	
426		 OWN	7	
427		 QUICKLY	7	
428		 QUESTION	7	
429		 TWICE	7	
430		 TOWN	7	
431		 WINDOW	7	
432		 WHAT-DO-YOU-CALL-IT	7	
433		 WHEN	7	
434		 WHY	7	
435		 YOUSELF	7	
436		 STAR	7	
437		 SONG	7	
438		 SOCK-'EM	7	
439		 SENSE	7	
440		 SUBSELF	7	
441		 STYLE	7	
442		 SUMMER	7	
443		 SURE	7	
444		 TALK	7	
445		 THE	7	
446		 THOUGHT	6	
447		 STILL	6	
448		 SERVICE	6	
449		 SKIN	6	
450		 SIX-FOOT-SOMETHING	6	
451		 SISTER	6	
452		 SIMPLE	6	
453		 SOMETHING-ANYTHING	6	
454		 WHATEVER	6	
455		 WOW-HIM	6	
456		 WOULD	6	
457		 TRAP-HIM	6	
458		 TREES	6	
459		 TWO-GAMES-TO-NONE	6	
460		 UP-YOURS	6	
461		 USE	6	
462		 RATE	6	
463		 READ	6	
464		 READY-FOR-ANYTHING	6	
465		 Q	6	
466		 REALLY	6	
467		 ROCK-'EM	6	
468		 SCREW	6	
469		 PAST	6	
470		 PICTURE	6	
471		 PLAN	6	
472		 PLANET	6	
473		 PLANS	6	
474		 PLAYER	6	
475		 POWER	6	
476		 MOMENT	6	
477		 MAKE-IT-OR-BREAK-IT	6	
478		 MAYBE	6	
479		 LINE	6	
480		 LOVE-IT-OR-HATE-IT	6	
481		 LOSS	6	
482		 ONLY	6	
483		 MONTH	6	
484		 NEW-TO-ME	6	
485		 NEW-TO-YOU	6	
486		 AIR	6	
487		 ALONE	6	
488		 ALONG	6	
489		 -NOBODY	6	
490		 -ANYTHING	6	
491		 ACTOR	6	
492		 BEHIND	6	
493		 ARM	6	
494		 BOOK	6	
495		 BOSS	6	
496		 BREAK	6	
497		 CLOTHES	6	
498		 CLEAR	6	
499		 CHILD	6	
500		 CAREER	6	
501		 CENTURY	6	
502		 DO-SOMETHING	6	
503		 DOCTOR	6	
504		 DISEASE	6	
505		 COOLER-THAN-THOU	6	
506		 HANDLE-HIM	6	
507		 GROUP	6	
508		 HER-SOMETHING	6	
509		 HELP	6	
510		 HUNGRY	6	
511		 HOUR	6	
512		 HOSPITAL	6	
513		 HISTORY	6	
514		 INSTALL-IT-YOURSELF	6	
515		 IT-ALONG	6	
516		 IMMEDIATELY	6	
517		 LATE	6	
518		 KYO-YA	6	
519		 EQUIPMENT	6	
520		 ENOUGH	6	
521		 FAULT	6	
522		 FINE	6	
523		 FLAVOR	6	
524		 FORWARD	6	
525		 GO	6	
526		 GIRL	5	
527		 FORM	5	
528		 FORGET	5	
529		 FLOOR	5	
530		 FEEL	5	
531		 FILM	5	
532		 FEAR	5	
533		 FAKE	5	
534		 FALL	5	
535		 FANS	5	
536		 FACT	5	
537		 EYE	5	
538		 EVENING	5	
539		 EVENT	5	
540		 DOG	5	
541		 DOLLARS	5	
542		 KNEW	5	
543		 LANGUAGE	5	
544		 LAST	5	
545		 JOHNSON	5	
546		 JUST-DO-IT	5	
547		 JUST-THE-TWO-OF-US	5	
548		 KEY	5	
549		 IMPOSSIBLE	5	
550		 IMPORTANT	5	
551		 HILL	5	
552		 HOWEVER	5	
553		 HEARD	5	
554		 HATE-'EM	5	
555		 HE-HE-HE	5	
556		 HE-ALONG	5	
557		 GRIN-AND-BEAR-IT	5	
558		 HAI-YE	5	
559		 GUYS	5	
560		 COUNTRY	5	
561		 CREAM	5	
562		 DIFFERENCE	5	
563		 DAD	5	
564		 DEATH	5	
565		 CENTER	5	
566		 COME-AND-GET-IT	5	
567		 BOOKS	5	
568		 BIG	5	
569		 BLINK-AND-YOU'LL-MISS-IT	5	
570		 BLUE	5	
571		 BEST	5	
572		 ARMS	5	
573		 ART	5	
574		 AS	5	
575		 ASSEMBLE-IT-YOURSELF	5	
576		 BEAUTIFUL	5	
577		 BALL	5	
578		 -NONE	5	
579		 100-SOMETHING	5	
580		 AGE	5	
581		 ANTI-ANYTHING	5	
582		 AREA	5	
583		 ANSWER	5	
584		 NONE-OUT	5	
585		 NO-DOUBT-ABOUT-IT	5	
586		 NERVOUS	5	
587		 OTHERS	5	
588		 OR	5	
589		 NUMBER	5	
590		 M-E	5	
591		 M-ME	5	
592		 MA-ME	5	
593		 MADE	5	
594		 LUCK	5	
595		 LIFE-AS-WE-KNOW-IT	5	
596		 LEGS	5	
597		 PRICE	5	
598		 PROJECT	5	
599		 PLAYERS	5	
600		 POCKET	5	
601		 POOR-ME	5	
602		 POWERFUL	5	
603		 PERSON	5	
604		 PARTY	5	
605		 PARIS	5	
606		 PAY-AS-YOU	5	
607		 PAPER	5	
608		 SCIENCE	5	
609		 SAYING	5	
610		 ROUGHING	5	
611		 RIVER	5	
612		 REASONS	5	
613		 RELATIONSHIP	5	
614		 RACE	5	
615		 RAIN	5	
616		 WAYS	5	
617		 W	5	
618		 TRY-ANYTHING	5	
619		 WORTH	5	
620		 WORKERS	5	
621		 WORKS	5	
622		 WORDS	5	
623		 Y-ME	5	
624		 WHICH	5	
625		 WHITE	5	
