
SEE CONTEXT: CLICK ON WORD OR SELECT WORDS + [CONTEXT]   [HELP...]	  ?   
 			FREQ	 
255		 MARYLAND	14816	
256		 RICK	14785	
257		 ATLANTIC	14713	
258		 YOUNG	14711	
259		 MOSCOW	14672	
260		 ITALY	14637	
261		 MINNESOTA	14606	
262		 JENNIFER	14587	
263		 DIEGO	14569	
264		 DETROIT	14501	
265		 ANDY	14467	
266		 MISSISSIPPI	14467	
267		 DEAN	14438	
268		 FORT	14435	
269		 BARRY	14416	
270		 MEDICARE	14411	
271		 NICK	14394	
272		 MANHATTAN	14385	
273		 NBC	14279	
274		 BAGHDAD	14215	
275		 WALKER	14196	
276		 ANNA	14178	
277		 GREG	14168	
278		 BAKER	14156	
279		 JASON	14112	
280		 U.N	14101	
281		 AMY	14086	
282		 THOMPSON	14077	
283		 OKLAHOMA	14052	
284		 EGYPT	14028	
285		 JAY	13957	
286		 HILLARY	13923	
287		 SYRIA	13881	
288		 HILL	13744	
289		 DIANE	13740	
290		 O'REILLY	13654	
291		 KAREN	13645	
292		 WALLACE	13571	
293		 AUG	13495	
294		 DEC	13469	
295		 KEN	13437	
296		 PITTSBURGH	13413	
297		 AP	13272	
298		 MISSOURI	13206	
299		 STEWART	13185	
300		 DONALD	13164	
301		 ADAMS	13162	
302		 CIA	13120	
303		 KUWAIT	13107	
304		 ALEXANDER	13036	
305		 DENNIS	13024	
306		 PHIL	12971	
307		 LAURA	12963	
308		 WISCONSIN	12949	
309		 GULF	12947	
310		 NELSON	12906	
311		 MARS	12858	
312		 OREGON	12843	
313		 KERRY	12808	
314		 SAWYER	12807	
315		 CUBA	12766	
316		 GORDON	12716	
317		 KIM	12715	
318		 BOBBY	12713	
319		 ALABAMA	12618	
320		 BALTIMORE	12602	
321		 ANNE	12599	
322		 AUSTRALIA	12597	
323		 NIXON	12574	
324		 MORGAN	12499	
325		 ARTHUR	12476	
326		 MARIA	12471	
327		 CAPITOL	12469	
328		 CORP	12449	
329		 NATO	12419	
330		 PETE	12414	
331		 MITCHELL	12396	
332		 RUSSELL	12383	
333		 POWELL	12342	
334		 CARL	12338	
335		 JOHNNY	12326	
336		 EDWARDS	12317	
337		 TENNESSEE	12311	
338		 MARGARET	12309	
339		 CHRISTOPHER	12248	
340		 INDIANA	12219	
341		 LOUISIANA	12139	
342		 ROKER	12131	
343		 GRAHAM	12118	
344		 PENTAGON	12115	
345		 LAWRENCE	12081	
346		 MICROSOFT	12073	
347		 TURKEY	12072	
348		 RACHEL	12069	
349		 STEVEN	12037	
350		 ROBINSON	12024	
351		 UN	12019	
352		 JUDY	11981	
353		 HELEN	11946	
354		 N	11829	
355		 BELL	11787	
356		 UTAH	11755	
357		 VEGAS	11739	
358		 RONALD	11708	
359		 SPAIN	11630	
360		 ROSE	11619	
361		 DOUGLAS	11609	
362		 NASA	11599	
363		 KONG	11583	
364		 CONNECTICUT	11485	
365		 DOLE	11452	
366		 ALICE	11445	
367		 CLEVELAND	11438	
368		 FEB	11387	
369		 PERRY	11368	
370		 TURNER	11366	
371		 TAIWAN	11350	
372		 KOPPEL	11350	
373		 WARREN	11339	
374		 PARKER	11257	
375		 HONG	11234	
376		 EPA	11223	
377		 JEAN	11221	
378		 HAMPSHIRE	11197	
379		 WAYNE	11193	
380		 ROBIN	11191	
381		 MURPHY	11118	
382		 GRACE	11109	
383		 KENTUCKY	11053	
384		 FRANKLIN	11039	
385		 OTHERS	11020	
386		 DANNY	10985	
387		 BRINKLEY	10982	
388		 JOSE	10959	
389		 HIV	10957	
390		 CAMPBELL	10942	
391		 SEAN	10913	
392		 JOAN	10908	
393		 GRANT	10888	
394		 ROY	10888	
395		 ARABIA	10881	
396		 WRIGHT	10848	
397		 MATTHEW	10842	
398		 MORRIS	10812	
399		 OAKLAND	10793	
400		 ALASKA	10778	
401		 COLLINS	10703	
402		 BRAZIL	10643	
403		 CAROL	10639	
404		 FRANCIS	10637	
405		 JONATHAN	10627	
406		 MARTHA	10607	
407		 ARKANSAS	10532	
408		 ROME	10498	
409		 BRADLEY	10497	
410		 EDDIE	10485	
411		 DISNEY	10478	
412		 TOMMY	10466	
413		 MARSHALL	10459	
414		 A.	10439	
415		 BERKELEY	10435	
416		 BROOKLYN	10371	
417		 O'BRIEN	10365	
418		 COOK	10352	
419		 AARON	10295	
420		 ANNIE	10284	
421		 TODD	10271	
422		 JULIE	10250	
423		 PM	10238	
424		 LAS	10232	
425		 JON	10206	
426		 BUCHANAN	10203	
427		 PEROT	10203	
428		 ANTONIO	10174	
429		 STANFORD	10121	
430		 SAUDI	10110	
431		 JESSE	10104	
432		 WOODS	10100	
433		 COHEN	10070	
434		 COOPER	10016	
435		 JERUSALEM	10003	
436		 ARNOLD	9996	
437		 CRAIG	9984	
438		 I	9963	
439		 BEIJING	9949	
440		 BERLIN	9941	
441		 SHARON	9930	
442		 MAINE	9926	
443		 PHILIP	9909	
444		 GIBSON	9908	
445		 JEFFREY	9902	
446		 RUTH	9897	
447		 JEFFERSON	9874	
448		 MCEWEN	9852	
449		 CHARLOTTE	9824	
450		 GORBACHEV	9791	
451		 LYNN	9774	
452		 MICHELLE	9762	
453		 BROOKS	9616	
454		 JOSH	9598	
455		 IRELAND	9521	
456		 CO	9492	
457		 LUKE	9418	
458		 GINGRICH	9406	
459		 DOUG	9394	
460		 MADISON	9391	
461		 L.A.	9364	
462		 STANLEY	9341	
