
SEE CONTEXT: CLICK ON WORD OR SELECT WORDS + [CONTEXT]   [HELP...]	  ?   
 			FREQ	 
248		 TESTED	7699	
249		 SAVED	7687	
250		 COMPLAINED	7687	
251		 FIRED	7680	
252		 ACCEPTED	7664	
253		 EXPRESSED	7587	
254		 DRANK	7561	
255		 INTENDED	7524	
256		 ASSUMED	7522	
257		 SETTLED	7500	
258		 RODE	7499	
259		 FOCUSED	7489	
260		 PERFORMED	7489	
261		 IMAGINED	7475	
262		 WAVED	7462	
263		 OWNED	7435	
264		 HIRED	7432	
265		 PLACED	7391	
266		 SNAPPED	7380	
267		 REPEATED	7363	
268		 PARTICIPATED	7352	
269		 REMOVED	7315	
270		 SURVIVED	7295	
271		 GAINED	7204	
272		 INVITED	7189	
273		 DEMONSTRATED	7057	
274		 EXPERIENCED	7020	
275		 PROPOSED	7016	
276		 TENDED	6949	
277		 RANG	6888	
278		 SHUT	6801	
279		 STUCK	6790	
280		 DISCUSSED	6708	
281		 YELLED	6697	
282		 KISSED	6641	
283		 FILED	6608	
284		 LANDED	6589	
285		 BELONGED	6585	
286		 SMELLED	6485	
287		 THREATENED	6470	
288		 CONFIRMED	6439	
289		 IGNORED	6438	
290		 STRUGGLED	6322	
291		 GATHERED	6286	
292		 KICKED	6265	
293		 URGED	6247	
294		 BENT	6193	
295		 STOLE	6190	
296		 KNOCKED	6126	
297		 REFLECTED	6119	
298		 ACKNOWLEDGED	6118	
299		 REJECTED	6070	
300		 DENIED	6055	
301		 DELIVERED	5973	
302		 RETIRED	5968	
303		 LASTED	5944	
304		 RULED	5927	
305		 HURT	5917	
306		 CONTRIBUTED	5916	
307		 CHOPPED	5872	
308		 FOUNDED	5851	
309		 RECORDED	5842	
310		 ATTEMPTED	5745	
311		 FEARED	5744	
312		 STRETCHED	5713	
313		 ENCOURAGED	5637	
314		 ACCUSED	5630	
315		 POURED	5622	
316		 TESTIFIED	5621	
317		 GRINNED	5617	
318		 HEADED	5600	
319		 CITED	5579	
320		 RUSHED	5544	
321		 COLLECTED	5524	
322		 EXTENDED	5498	
323		 BURNED	5484	
324		 BACKED	5481	
325		 SWUNG	5436	
326		 PREDICTED	5412	
327		 TIED	5403	
328		 ADOPTED	5310	
329		 DESIGNED	5285	
330		 LIT	5281	
331		 WRAPPED	5275	
332		 TOSSED	5272	
333		 CLEARED	5204	
334		 INTERVIEWED	5178	
335		 ATTACKED	5164	
336		 COMPARED	5145	
337		 RECOMMENDED	5142	
338		 LOWERED	5126	
339		 PERCEIVED	5098	
340		 SHIFTED	5060	
341		 DEVOTED	5049	
342		 DIRECTED	5035	
343		 LACKED	5034	
344		 REDUCED	5018	
345		 ESTIMATED	5005	
346		 CAPTURED	5005	
347		 DESTROYED	4920	
348		 ADDRESSED	4858	
349		 DUG	4851	
350		 FROWNED	4849	
351		 PROMPTED	4846	
352		 SCREAMED	4845	
353		 RATED	4836	
354		 MUTTERED	4827	
355		 ORGANIZED	4815	
356		 APPLIED	4814	
357		 FLED	4795	
358		 CHARGED	4746	
359		 INFORMED	4715	
360		 WIPED	4704	
361		 FED	4693	
362		 SANK	4689	
363		 REPLACED	4680	
364		 RUBBED	4639	
365		 TORE	4621	
366		 LIED	4607	
367		 EXPLODED	4563	
368		 GRADUATED	4559	
369		 HESITATED	4552	
370		 IDENTIFIED	4550	
371		 APPROVED	4550	
372		 SLAMMED	4540	
373		 PREFERRED	4536	
374		 WORRIED	4534	
375		 SWEPT	4529	
376		 MAINTAINED	4494	
377		 BIT	4483	
