
SEE CONTEXT: CLICK ON WORD OR SELECT WORDS + [CONTEXT]   [HELP...]	  ?   
 			FREQ	 
266		 CONCERN	5	
267		 CLEAR	5	
268		 COUNTRY	5	
269		 HELP	5	
270		 GROUP	5	
271		 GOD	5	
272		 GIFT	5	
273		 KNOWS	5	
274		 LATE	5	
275		 IT-UNLESS	5	
276		 HISTORY	5	
277		 HOPE	5	
278		 IL-IF	5	
279		 ME-BECAUSE	5	
280		 MEN	5	
281		 MOVIES	5	
282		 MOST	5	
283		 LOVE	5	
284		 LONG-SINCE	5	
285		 LITTLE	5	
286		 PHONE	5	
287		 OWN	5	
288		 PART	5	
289		 NIGHT	5	
290		 NEVER-BEFORE	5	
291		 NEVER-SEEN-BEFORE	4	
292		 NECESSARY	4	
293		 NOW-THOUGH	4	
294		 NOW-BECAUSE	4	
295		 NUMBERS	4	
296		 OTHERS	4	
297		 OPPORTUNITY	4	
298		 PAPER	4	
299		 LIGHT	4	
300		 LIFE-WHETHER	4	
301		 LESSON	4	
302		 MAKING	4	
303		 MORNING	4	
304		 NAME	4	
305		 NATURE	4	
306		 MESSAGE	4	
307		 ME-THOUGH	4	
308		 MEANT	4	
309		 IMPORTANT	4	
310		 HOURS	4	
311		 IT-THOUGH	4	
312		 INTERESTING	4	
313		 ISSUE	4	
314		 FUNDS	4	
315		 FOUND	4	
316		 FRUIT	4	
317		 FOREVER	4	
318		 FORCE	4	
319		 FILM	4	
320		 FINDINGS	4	
321		 GROUPS	4	
322		 HAND	4	
323		 DIED	4	
324		 DESIGN	4	
325		 DEVELOPMENT	4	
326		 COMMUNITY	4	
327		 EDUCATION	4	
328		 END	4	
329		 ELSEWHERE	4	
330		 DREAM	4	
331		 DONE	4	
332		 FAMILIES	4	
333		 FELT	4	
334		 FATHER	4	
335		 FEAR	4	
336		 FEET	4	
337		 CASE.	4	
338		 CHILD	4	
339		 CALIFORNIA-WHERE	4	
340		 BROTHER	4	
341		 BACK	4	
342		 BALANCE	4	
343		 ANYMORE	4	
344		 AREA	4	
345		 ART	4	
346		 ASSOCIATION	4	
347		 AND-OUT	4	
348		 AND-ALTHOUGH	4	
349		 AND-EXCEPT	4	
350		 ANSWER	4	
351		 AGAIN-EXCEPT	4	
352		 AGAIN-UNTIL	4	
353		 -UNLESS	4	
354		 -EXCEPT	4	
355		 YOU-WHETHER	4	
356		 YEARS-THOUGH	4	
357		 X	4	
358		 WRONG	4	
359		 SEE	4	
